,trial,choice,reward,cumulative_reward,model_id,loglik
84,85,1,1,74,83811,-0.15388999728321823
85,86,0,0,74,83811,-1.9482140118812437
86,87,0,0,74,83811,-2.5178912471130874
87,88,1,1,75,83811,-0.05123847215630763
88,89,1,0,75,83811,-0.05120406058779159
89,90,1,1,76,83811,-0.13322004220049477
90,91,1,1,77,83811,-0.1103730882069365
91,92,1,1,78,83811,-0.09481072955318288
92,93,1,1,79,83811,-0.08388577074410063
93,94,1,1,80,83811,-0.07602196691389679
94,95,1,1,81,83811,-0.07024426760296014
95,96,1,1,82,83811,-0.0659278255520297
96,97,0,0,82,83811,-2.801210875986111
97,98,1,1,83,83811,-0.04203807672554318
98,99,1,1,84,83811,-0.0403427061488291
99,100,1,1,85,83811,-0.03903429140063532
100,1,0,1,1,14593,-3.2886651538323415
101,2,0,1,2,14593,-2.653074111757116
102,3,0,1,3,14593,-2.1651892720999495
103,4,0,0,3,14593,-1.7953858515910026
104,5,1,1,4,14593,-0.09846771446081093
105,6,1,0,4,14593,-0.09646741540235479
106,7,0,1,5,14593,-1.547925878892547
107,8,0,1,6,14593,-1.1949024638566434
108,9,0,1,7,14593,-0.9460462928441895
109,10,0,0,7,14593,-0.771313419317759
110,11,1,1,8,14593,-0.3394791008025829
111,12,1,1,9,14593,-0.28263567757451996
112,13,1,0,9,14593,-0.24325805840141296
113,14,1,0,9,14593,-0.5019945848199858
114,15,0,1,10,14593,-0.570673493848648
115,16,0,1,11,14593,-0.417973658295568
116,17,0,1,12,14593,-0.3210287093511049
117,18,0,1,13,14593,-0.25782503604245427
118,19,0,1,14,14593,-0.2153712862882654
119,20,1,0,14,14593,-1.77344890419058
120,21,0,1,15,14593,-0.1112898407146939
121,22,0,1,16,14593,-0.09842640747747639
122,23,0,1,17,14593,-0.08916356579702404
123,24,0,1,18,14593,-0.08235659824747738
124,25,0,1,19,14593,-0.0772707525957337
125,26,0,1,20,14593,-0.07341938232354323
126,27,0,1,21,14593,-0.07047095550998451
127,28,1,0,21,14593,-2.7193033301514986
128,29,0,1,22,14593,-0.044370445088053635
129,30,0,1,23,14593,-0.04320481096341423
130,31,0,1,24,14593,-0.04229355971901527
131,32,0,1,25,14593,-0.04157784168053552
132,33,0,1,26,14593,-0.04101359193304366
133,34,0,1,27,14593,-0.04056741884086806
134,35,0,1,28,14593,-0.04021376459654354
135,36,0,1,29,14593,-0.03993290443547983
136,37,0,1,30,14593,-0.039709510854878026
137,38,0,1,31,14593,-0.039531606273106305
138,39,0,1,32,14593,-0.03938978785810364
139,40,0,1,33,14593,-0.03927664644393148
140,41,0,1,34,14593,-0.039186326108957024
141,42,0,1,35,14593,-0.03911418719891477
142,43,0,1,36,14593,-0.039056546426689834
143,44,0,1,37,14593,-0.03901047506790902
144,45,0,1,38,14593,-0.03897364138701973
145,46,0,1,39,14593,-0.038944187029048206
