,trial,choice,reward,cumulative_reward,model_id
440,41,0,1,36,36049
441,42,1,0,36,36049
442,43,0,1,37,36049
443,44,0,1,38,36049
444,45,0,1,39,36049
445,46,0,1,40,36049
446,47,0,1,41,36049
447,48,0,1,42,36049
448,49,0,1,43,36049
449,50,0,1,44,36049
450,51,0,1,45,36049
451,52,0,1,46,36049
452,53,0,0,46,36049
453,54,0,0,46,36049
454,55,0,0,46,36049
455,56,0,0,46,36049
456,57,0,0,46,36049
457,58,1,1,47,36049
458,59,0,0,47,36049
459,60,1,1,48,36049
460,61,1,1,49,36049
461,62,1,1,50,36049
462,63,1,1,51,36049
463,64,1,1,52,36049
464,65,1,1,53,36049
465,66,1,1,54,36049
466,67,1,1,55,36049
467,68,1,1,56,36049
468,69,1,1,57,36049
469,70,1,1,58,36049
470,71,1,1,59,36049
471,72,1,1,60,36049
472,73,1,1,61,36049
473,74,1,1,62,36049
474,75,1,1,63,36049
475,76,1,1,64,36049
476,77,1,1,65,36049
477,78,1,1,66,36049
478,79,0,0,66,36049
479,80,1,1,67,36049
480,81,1,1,68,36049
481,82,1,1,69,36049
482,83,1,1,70,36049
483,84,1,1,71,36049
484,85,1,1,72,36049
485,86,1,1,73,36049
486,87,1,1,74,36049
487,88,1,1,75,36049
488,89,1,0,75,36049
489,90,1,1,76,36049
490,91,1,1,77,36049
491,92,1,1,78,36049
492,93,1,1,79,36049
493,94,1,1,80,36049
494,95,1,1,81,36049
495,96,1,1,82,36049
496,97,1,1,83,36049
497,98,1,1,84,36049
498,99,1,1,85,36049
499,100,1,1,86,36049
500,1,1,1,1,32099
501,2,0,1,2,32099
502,3,1,0,2,32099
503,4,0,0,2,32099
504,5,0,1,3,32099
505,6,0,1,4,32099
506,7,0,1,5,32099
507,8,0,1,6,32099
508,9,1,0,6,32099
509,10,0,0,6,32099
510,11,1,1,7,32099
511,12,0,1,8,32099
512,13,0,1,9,32099
513,14,0,1,10,32099
514,15,1,1,11,32099
515,16,0,1,12,32099
516,17,0,1,13,32099
517,18,0,1,14,32099
518,19,0,1,15,32099
519,20,0,1,16,32099
520,21,0,1,17,32099
521,22,1,0,17,32099
522,23,0,1,18,32099
523,24,0,1,19,32099
524,25,0,1,20,32099
525,26,0,1,21,32099
526,27,0,1,22,32099
527,28,0,1,23,32099
528,29,0,1,24,32099
529,30,0,1,25,32099
530,31,0,1,26,32099
531,32,0,1,27,32099
532,33,0,1,28,32099
533,34,0,1,29,32099
534,35,0,1,30,32099
535,36,0,1,31,32099
536,37,0,1,32,32099
537,38,0,1,33,32099
538,39,0,1,34,32099
539,40,0,1,35,32099
540,41,0,1,36,32099
541,42,0,1,37,32099
542,43,0,1,38,32099
543,44,0,1,39,32099
544,45,0,1,40,32099
545,46,0,1,41,32099
546,47,0,1,42,32099
547,48,0,1,43,32099
548,49,0,1,44,32099
549,50,0,1,45,32099
550,51,0,1,46,32099
551,52,0,1,47,32099
552,53,0,0,47,32099
553,54,1,1,48,32099
554,55,0,0,48,32099
555,56,0,0,48,32099
556,57,0,0,48,32099
557,58,1,1,49,32099
558,59,1,1,50,32099
559,60,1,1,51,32099
560,61,1,1,52,32099
561,62,1,1,53,32099
562,63,1,1,54,32099
563,64,1,1,55,32099
564,65,1,1,56,32099
565,66,1,1,57,32099
566,67,1,1,58,32099
567,68,1,1,59,32099
568,69,1,1,60,32099
569,70,1,1,61,32099
570,71,1,1,62,32099
571,72,1,1,63,32099
572,73,1,1,64,32099
573,74,1,1,65,32099
574,75,1,1,66,32099
575,76,1,1,67,32099
576,77,1,1,68,32099
577,78,1,1,69,32099
578,79,1,1,70,32099
579,80,1,1,71,32099
580,81,1,1,72,32099
581,82,1,1,73,32099
582,83,1,1,74,32099
583,84,1,1,75,32099
584,85,1,1,76,32099
585,86,1,1,77,32099
586,87,1,1,78,32099
587,88,1,1,79,32099
588,89,1,0,79,32099
589,90,1,1,80,32099
590,91,1,1,81,32099
591,92,1,1,82,32099
592,93,1,1,83,32099
593,94,1,1,84,32099
594,95,1,1,85,32099
595,96,1,1,86,32099
596,97,1,1,87,32099
597,98,1,1,88,32099
598,99,1,1,89,32099
599,100,1,1,90,32099
600,1,1,1,1,29257
601,2,0,1,2,29257
602,3,0,1,3,29257
603,4,0,0,3,29257
604,5,0,1,4,29257
605,6,0,1,5,29257
606,7,1,1,6,29257
607,8,1,0,6,29257
608,9,0,1,7,29257
609,10,0,0,7,29257
610,11,0,1,8,29257
611,12,0,1,9,29257
612,13,0,1,10,29257
613,14,1,0,10,29257
